method,representation,guard_type,input_mode,positive_budget,seed,seed_group,ood_negative_weight,threshold_policy,threshold,id_calib_alarm_at_selection,ood_val_alarm_at_selection,threshold_selection_feasible,roc_auc,pr_auc,final_ood_alarm,attack_detection,feasible,attack_eval_size,final_ood_eval_size,hidden_dim,pooling_type,checkpoint_id,train_time_seconds,inference_time_seconds,parameter_count,feature_dim
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,43,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,0.006163420111038883,0.0002,0.01,True,0.6057841454545454,0.5340956118148612,0.0165,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04955830005928874,0.005064900033175945,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,44,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,1.1389708291500162,0.0,0.01,True,0.6111738181818182,0.5272576448927992,0.008,0.43272727272727274,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.05583420000039041,0.004145199898630381,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,45,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-0.06122283799069396,0.0,0.01,True,0.6163942545454546,0.5425844931272779,0.0161,0.5047272727272727,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.07522459980100393,0.0049137999303638935,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,46,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-0.17369359759850597,0.0,0.01,True,0.6149194909090909,0.5414960905714854,0.0163,0.5047272727272727,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.044490400003269315,0.003433499950915575,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,47,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,-0.29186847804119603,0.0,0.01,True,0.6226784,0.5472188566676277,0.0169,0.5076363636363637,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.047687599901109934,0.002981599885970354,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,48,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,1.2128522282792287,0.0008,0.0095,True,0.5981362909090908,0.5107823379583507,0.0093,0.43272727272727274,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.05114889983087778,0.0036956998519599438,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,49,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,0.07759207717995739,0.0,0.01,True,0.6231652363636364,0.5477383798311113,0.0161,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04992020013742149,0.0038548000156879425,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,50,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,1.64435364723217,0.0002,0.01,True,0.6029350545454546,0.5247793534188823,0.0106,0.44436363636363635,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04836420016363263,0.0037229000590741634,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,32,51,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,-0.2152825983903144,0.0002,0.01,True,0.6256542545454545,0.5497364467634909,0.0168,0.5069090909090909,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.07358879991807044,0.005683799972757697,17,16
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,original100_flat100_plus_transformer_hidden16,16,42,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-4.609935920932361,0.01,0.0025,True,0.9962794909090912,0.9951881062386467,0.0009,0.9941818181818182,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.6748305999208242,0.020850200206041336,117,116
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,original100_flat100_plus_transformer_hidden16,16,43,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-3.5338941466904754,0.0098,0.001,True,0.9996875636363636,0.9976911773496158,0.0022,0.9418181818181818,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.7580357000697404,0.01821050001308322,117,116
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,original100_flat100_plus_transformer_hidden16,16,44,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-2.6889987407222864,0.01,0.0015,True,0.9999559272727273,0.9995976071222621,0.0007,0.9985454545454545,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.9814432999119163,0.01891270000487566,117,116
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,original100_flat100_plus_transformer_hidden16,16,45,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-4.011433860053371,0.0098,0.002,True,0.9846829090909092,0.9688762559925923,0.0021,0.9410909090909091,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.7949799001216888,0.01933080004528165,117,116
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,original100_flat100_plus_transformer_hidden16,16,46,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-2.8709485700507753,0.01,0.0025,True,0.9886376,0.94206781203344,0.0057,0.9876363636363636,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,1.0463640000671148,0.021766899852082133,117,116
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,original100_flat100_plus_transformer_hidden16,16,47,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,-4.569872264705188,0.01,0.003,True,0.9751325818181817,0.883580429584348,0.0085,0.9221818181818182,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.9433323999401182,0.019442100077867508,117,116
original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_transformer_hidden,fixed_ood_weight_2,original100_flat100_plus_transformer_hidden16,16,48,heldout_support_47_51,2.0,guarded_id_calib_and_ood_val_target1pct,-3.0352828883973277,0.0098,0.001,True,0.9947930909090908,0.9931258472126475,0.0028,0.9890909090909091,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.8096654999535531,0.020389800192788243,117,116
