seed,active_label_budget,query_name,region_id,p75_radius,p95_radius,covered_p75,covered_p95,nearest_p50,nearest_p95
43,128,dev_heavy_query_report_only,attack_active_heavy,3.9723150730133057,6.494067192077637,0.23775,0.378,9.250700950622559,949.7938842773438
44,64,support_val_medium,attack_medium_base,5.749643802642822,7.840913772583008,0.75,0.9375,4.389259338378906,7.840913772583008
44,64,support_val_medium,attack_active_heavy,4.331150054931641,7.747964382171631,0.0,0.0,938.9307861328125,10363.255859375
44,64,active_heavy_val,attack_medium_base,5.749643802642822,7.840913772583008,0.0,0.0,6789.30078125,10290.96875
44,64,active_heavy_val,attack_active_heavy,4.331150054931641,7.747964382171631,0.75,0.9375,2.7553043365478516,7.747964382171631
44,64,medium_attack_eval_report_only,attack_medium_base,5.749643802642822,7.840913772583008,0.8933333333333333,0.9791111111111112,3.137913703918457,6.895788669586182
44,64,medium_attack_eval_report_only,attack_active_heavy,4.331150054931641,7.747964382171631,0.0,0.0,975.8748779296875,2180.00537109375
44,64,dev_heavy_query_report_only,attack_medium_base,5.749643802642822,7.840913772583008,0.1795,0.1795,4407.34765625,9062.4521484375
44,64,dev_heavy_query_report_only,attack_active_heavy,4.331150054931641,7.747964382171631,0.24125,0.44,9.120354652404785,1081.456298828125
44,128,support_val_medium,attack_medium_base,5.749643802642822,7.840913772583008,0.75,0.9375,4.389259338378906,7.840913772583008
44,128,support_val_medium,attack_active_heavy,2.2559988498687744,5.213807106018066,0.0,0.0,903.4708251953125,6801.70556640625
44,128,active_heavy_val,attack_medium_base,5.749643802642822,7.840913772583008,0.0,0.0,5374.37353515625,9649.35546875
44,128,active_heavy_val,attack_active_heavy,2.2559988498687744,5.213807106018066,0.75,0.9375,1.4788806438446045,5.213807106018066
44,128,medium_attack_eval_report_only,attack_medium_base,5.749643802642822,7.840913772583008,0.8933333333333333,0.9791111111111112,3.137913703918457,6.895788669586182
44,128,medium_attack_eval_report_only,attack_active_heavy,2.2559988498687744,5.213807106018066,0.0,0.0,941.5631103515625,1589.9190673828125
44,128,dev_heavy_query_report_only,attack_medium_base,5.749643802642822,7.840913772583008,0.1795,0.1795,4407.34765625,9062.4521484375
44,128,dev_heavy_query_report_only,attack_active_heavy,2.2559988498687744,5.213807106018066,0.0895,0.331,9.219614028930664,997.341552734375
45,64,support_val_medium,attack_medium_base,5.832374095916748,7.4719014167785645,0.75,0.9375,4.592872619628906,7.4719014167785645
45,64,support_val_medium,attack_active_heavy,5.593993186950684,629.642333984375,0.0,0.0,837.53857421875,10447.6513671875
45,64,active_heavy_val,attack_medium_base,5.832374095916748,7.4719014167785645,0.0,0.0,5135.2158203125,8896.90625
45,64,active_heavy_val,attack_active_heavy,5.593993186950684,629.642333984375,0.75,0.9375,2.7917208671569824,629.642333984375
45,64,medium_attack_eval_report_only,attack_medium_base,5.832374095916748,7.4719014167785645,0.8422222222222222,0.9395555555555556,3.6052980422973633,7.921701908111572
45,64,medium_attack_eval_report_only,attack_active_heavy,5.593993186950684,629.642333984375,0.0,0.0,871.0263671875,4135.2724609375
