route,epoch,loss,ce,supcon,rex,held_value
H4_c1_supcon_rex_proto_selective_budget,11,0.5497868706782659,0.0014404239676271875,5.483203848203023,0.00010418538839129798,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,12,0.5495397796233495,0.0013522874699750294,5.481602390607198,0.0001089981052161404,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,13,0.5494906703631083,0.0012669003626797348,5.4820313056310015,8.253347495923435e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,14,0.5494604806105295,0.001194489886984229,5.482402642567952,0.00010286327840599203,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,15,0.5491729080677032,0.0011181593533062066,5.480455756187439,3.667907172196413e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,16,0.5493192126353582,0.001059818867361173,5.482415437698364,7.13739033778582e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,17,0.5490726182858149,0.0009988139014846336,5.480541348457336,7.865456026234785e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,18,0.5490023791790009,0.0009369338610364745,5.480540990829468,4.533003936178318e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,19,0.5490646163622538,0.0008873175538610667,5.481593132019043,7.190272422752386e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,20,0.5488570133845011,0.0008384673904705172,5.480070352554321,4.600558655520892e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,21,0.548946941892306,0.0007948777104805534,5.481422344843547,3.9323320592125434e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,22,0.5487901816765467,0.0007527084429360306,5.4802952607472735,3.1801657439989306e-05,iotsim-stream-consumer
H4_c1_supcon_rex_proto_selective_budget,23,0.5486555496851603,0.0007120041215481857,5.47934905687968,3.454866440094628e-05,iotsim-stream-consumer
H1_c1_mlp_ce,0,0.11050848925814909,0.11050848925814909,0.0,0.0,iotsim-hydraulic-system
H1_c1_mlp_ce,1,0.09267198294401169,0.09267198294401169,0.0,0.0,iotsim-hydraulic-system
H1_c1_mlp_ce,2,0.08423183069509618,0.08423183069509618,0.0,0.0,iotsim-hydraulic-system
H1_c1_mlp_ce,3,0.07742244662607417,0.07742244662607417,0.0,0.0,iotsim-hydraulic-system
H1_c1_mlp_ce,4,0.07108402778120602,0.07108402778120602,0.0,0.0,iotsim-hydraulic-system
H1_c1_mlp_ce,5,0.06536346564398092,0.06536346564398092,0.0,0.0,iotsim-hydraulic-system
H1_c1_mlp_ce,6,0.0601249242968419,0.0601249242968419,0.0,0.0,iotsim-hydraulic-system
H1_c1_mlp_ce,7,0.055363936897586376,0.055363936897586376,0.0,0.0,iotsim-hydraulic-system
H1_c1_mlp_ce,8,0.05098653760026483,0.05098653760026483,0.0,0.0,iotsim-hydraulic-system
