dataset,holdout,split_protocol,method,method_group,representation,adapter,support_method,support_size,support_budget,seed,seed_group,ood_target,ood_target_label,roc_auc,pr_auc,attack_high_detection,final_ood_high_alarm,feasible_final_1pct,threshold,attack_eval_size,final_ood_eval_size,feature_dim,selected_topk,hard_negative_count,train_time,inference_time,parameter_count,provenance_clean,threshold_diagnostic_only,final_eval_used_for_selection
primary_lowood,primary_lowood,current_lowood_same_protocol,M7_source_rich_top48_kcenter32_fixed_guard,feature_count,selected_source_rich_top48,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.005,0.5pct,0.9882888000000001,0.9743533614536777,0.9454545454545454,0.0061,True,-4.1156048315722,1375,10000,48,48,0,0.22678450000239536,0.009193399993819185,49,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M7_source_rich_top48_kcenter32_fixed_guard,feature_count,selected_source_rich_top48,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.008,0.8pct,0.9882888000000001,0.9743533614536777,0.9461818181818182,0.0075,True,-4.3551811513025855,1375,10000,48,48,0,0.22678450000239536,0.009193399993819185,49,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M7_source_rich_top48_kcenter32_fixed_guard,feature_count,selected_source_rich_top48,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.01,1.0pct,0.9882888000000001,0.9743533614536777,0.9461818181818182,0.0077,True,-4.410592422953027,1375,10000,48,48,0,0.22678450000239536,0.009193399993819185,49,True,False,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M7_source_rich_top48_kcenter32_fixed_guard,feature_count,selected_source_rich_top48,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.012,1.2pct,0.9882888000000001,0.9743533614536777,0.9469090909090909,0.0082,True,-4.457162854203051,1375,10000,48,48,0,0.22678450000239536,0.009193399993819185,49,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M7_source_rich_top48_kcenter32_fixed_guard,feature_count,selected_source_rich_top48,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.015,1.5pct,0.9882888000000001,0.9743533614536777,0.9469090909090909,0.009,True,-4.5394770909284174,1375,10000,48,48,0,0.22678450000239536,0.009193399993819185,49,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M7_source_rich_top48_kcenter32_fixed_guard,feature_count,selected_source_rich_top48,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.02,2.0pct,0.9882888000000001,0.9743533614536777,0.9476363636363636,0.0102,False,-4.647418815057926,1375,10000,48,48,0,0.22678450000239536,0.009193399993819185,49,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M8_source_rich_top64_kcenter32_fixed_guard,feature_count,selected_source_rich_top64,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.005,0.5pct,0.9825818909090909,0.9706019839871668,0.9476363636363636,0.0036,True,-4.2105346205874765,1375,10000,64,64,0,0.38295210000069346,0.012192900001537055,65,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M8_source_rich_top64_kcenter32_fixed_guard,feature_count,selected_source_rich_top64,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.008,0.8pct,0.9825818909090909,0.9706019839871668,0.9476363636363636,0.0037,True,-4.33549208002283,1375,10000,64,64,0,0.38295210000069346,0.012192900001537055,65,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M8_source_rich_top64_kcenter32_fixed_guard,feature_count,selected_source_rich_top64,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.01,1.0pct,0.9825818909090909,0.9706019839871668,0.9476363636363636,0.0037,True,-4.41641482616712,1375,10000,64,64,0,0.38295210000069346,0.012192900001537055,65,True,False,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M8_source_rich_top64_kcenter32_fixed_guard,feature_count,selected_source_rich_top64,fixed_guard_lr,kcenter,32,32,42,main_42_46,0.012,1.2pct,0.9825818909090909,0.9706019839871668,0.9476363636363636,0.0043,True,-4.489470516909927,1375,10000,64,64,0,0.38295210000069346,0.012192900001537055,65,True,True,False
