evaluation_role,dataset,holdout,seed,seed_group,alpha,selected_by_validation,threshold,roc_auc,pr_auc,pauc_fpr_1pct,tpr_at_fpr_1pct,attack_high_detection,final_ood_high_alarm,attack_eval_size,final_ood_eval_size,feasible_final_1pct,final_metrics_report_only
locked,locked_harder_holdout,holdout_bin_7,44,main_42_46,0.5,False,1.4865540153399668,0.9912290096406661,0.9847551788616075,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0009,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,44,main_42_46,0.6,False,1.5558234228594692,0.9885139351446101,0.9828324291253079,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0013,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,44,main_42_46,0.7,False,1.6017756377927852,0.9863808063102543,0.9819053809173132,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0019,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,44,main_42_46,0.8,False,1.681996310333888,0.9845349693251533,0.9813378581528358,0.988932392021457,0.9780893952673094,0.9780893952673094,0.0024,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,44,main_42_46,0.9,True,1.7748515236834166,0.9830940403155127,0.9809445435972591,0.9885976772556913,0.9780893952673094,0.9780893952673094,0.003,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,45,main_42_46,0.5,False,1.4865540153399668,0.9912290096406661,0.9847551788616075,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0009,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,45,main_42_46,0.6,False,1.5558234228594692,0.9885139351446101,0.9828324291253079,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0013,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,45,main_42_46,0.7,False,1.6017756377927852,0.9863808063102543,0.9819053809173132,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0019,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,45,main_42_46,0.8,False,1.681996310333888,0.9845349693251533,0.9813378581528358,0.988932392021457,0.9780893952673094,0.9780893952673094,0.0024,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,45,main_42_46,0.9,True,1.7748515236834166,0.9830940403155127,0.9809445435972591,0.9885976772556913,0.9780893952673094,0.9780893952673094,0.003,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,46,main_42_46,0.5,False,1.4865540153399668,0.9912290096406661,0.9847551788616075,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0009,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,46,main_42_46,0.6,False,1.5558234228594692,0.9885139351446101,0.9828324291253079,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0013,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,46,main_42_46,0.7,False,1.6017756377927852,0.9863808063102543,0.9819053809173132,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0019,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,46,main_42_46,0.8,False,1.681996310333888,0.9845349693251533,0.9813378581528358,0.988932392021457,0.9780893952673094,0.9780893952673094,0.0024,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,46,main_42_46,0.9,True,1.7748515236834166,0.9830940403155127,0.9809445435972591,0.9885976772556913,0.9780893952673094,0.9780893952673094,0.003,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,47,heldout_47_51,0.5,False,1.4865540153399668,0.9912290096406661,0.9847551788616075,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0009,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,47,heldout_47_51,0.6,False,1.5558234228594692,0.9885139351446101,0.9828324291253079,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0013,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,47,heldout_47_51,0.7,False,1.6017756377927852,0.9863808063102543,0.9819053809173132,0.9889896458629694,0.9780893952673094,0.9780893952673094,0.0019,1141,10000,True,True
locked,locked_harder_holdout,holdout_bin_7,47,heldout_47_51,0.8,False,1.681996310333888,0.9845349693251533,0.9813378581528358,0.988932392021457,0.9780893952673094,0.9780893952673094,0.0024,1141,10000,True,True
