evaluation_role,dataset,holdout,split_protocol,method,method_group,candidate,fusion_family,selected_config_id,seed,seed_group,ood_target,threshold,support_size,feature_dim,train_time,inference_time,parameter_count,provenance_clean,final_eval_used_for_selection,roc_auc,pr_auc,pauc_fpr_1pct,tpr_at_fpr_1pct,attack_high_detection,final_ood_high_alarm,attack_eval_size,final_ood_eval_size,feasible_final_1pct
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F1_V2_top64_baseline,baseline,V2_top64_LR,raw_v2,none,43,main_42_46,0.01,-4.118561382207412,32,64,0.3338744000066072,0.020223499974235892,65,True,False,0.9826834165834166,0.9750582019196735,0.9841615670761399,0.97002997002997,0.97002997002997,0.0045,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F2_linear_alpha_selected,targeted_fusion_retry,F2_linear_alpha_selected,linear_alpha,alpha_0.50,43,main_42_46,0.01,1.5511899860590017,32,2,0.0001238000113517046,0.09929579996969551,0,True,False,0.9919522477522478,0.9868050689689029,0.9860390865415991,0.975024975024975,0.97002997002997,0.0008,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F3_residual_lr_selected,targeted_fusion_retry,F3_residual_lr_selected,residual_lr,residual_C_1.0,43,main_42_46,0.01,-4.645508729211221,32,5,0.023248599958606064,0.09858610003720969,6,True,False,0.9995252747252747,0.9957875868252555,0.9846384771007887,0.991008991008991,0.97002997002997,0.0052,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F4_conservative_max_selected,targeted_fusion_retry,F4_conservative_max_selected,conservative_max,beta_1.00,43,main_42_46,0.01,1.9554021961189494,32,2,4.900002386420965e-05,0.10108160000527278,0,True,False,0.9996117882117882,0.9953693082695814,0.980702714371056,0.991008991008991,0.97002997002997,0.0057,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F0_V1_baseline,baseline,V1_LOW_GUARD_minimal,raw_v1,none,44,main_42_46,0.01,-2.3665623121180643,32,100,1.0538447999861091,0.02857580001000315,101,True,False,0.9975887112887112,0.9819863143858635,0.9610841419886647,0.993006993006993,0.9790209790209791,0.0019,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F1_V2_top64_baseline,baseline,V2_top64_LR,raw_v2,none,44,main_42_46,0.01,-4.118561382207412,32,64,0.31454789999406785,0.02001650002785027,65,True,False,0.9826834165834166,0.9750582019196735,0.9841615670761399,0.97002997002997,0.97002997002997,0.0045,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F2_linear_alpha_selected,targeted_fusion_retry,F2_linear_alpha_selected,linear_alpha,alpha_0.90,44,main_42_46,0.01,1.857977632703146,32,2,0.00021549995290115476,0.1107837000163272,0,True,False,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F3_residual_lr_selected,targeted_fusion_retry,F3_residual_lr_selected,residual_lr,residual_C_1.0,44,main_42_46,0.01,-4.645508729211221,32,5,0.02691620000405237,0.11507469997741282,6,True,False,0.9995252747252747,0.9957875868252555,0.9846384771007887,0.991008991008991,0.97002997002997,0.0052,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F4_conservative_max_selected,targeted_fusion_retry,F4_conservative_max_selected,conservative_max,beta_0.75,44,main_42_46,0.01,1.9554021961189494,32,2,5.269999383017421e-05,0.10615970002254471,0,True,False,0.999473126873127,0.995311664895927,0.98203304233455,0.97002997002997,0.97002997002997,0.0056,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F0_V1_baseline,baseline,V1_LOW_GUARD_minimal,raw_v1,none,45,main_42_46,0.01,-2.3665623121180643,32,100,1.032447100034915,0.027767699968535453,101,True,False,0.9975887112887112,0.9819863143858635,0.9610841419886647,0.993006993006993,0.9790209790209791,0.0019,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F1_V2_top64_baseline,baseline,V2_top64_LR,raw_v2,none,45,main_42_46,0.01,-4.118561382207412,32,64,0.31438940000953153,0.020580200012773275,65,True,False,0.9826834165834166,0.9750582019196735,0.9841615670761399,0.97002997002997,0.97002997002997,0.0045,1001,10000,True
locked,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,F2_linear_alpha_selected,targeted_fusion_retry,F2_linear_alpha_selected,linear_alpha,alpha_0.90,45,main_42_46,0.01,1.857977632703146,32,2,5.6299963034689426e-05,0.10013550001895055,0,True,False,0.9843198801198801,0.9760598702684089,0.9846836580504922,0.97002997002997,0.97002997002997,0.0035,1001,10000,True
