evaluation_role,dataset,holdout,method,method_group,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,support_size,feature_dim,selected_configs,train_time_mean,inference_time_mean,parameter_count_mean,provenance_clean_rate
consistency,primary_lowood,primary_lowood,F3_residual_lr_selected,targeted_fusion_retry,main_42_46,5,0.9925220363636365,0.977517211346474,0.9585893101873001,0.9512727272727272,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.0044,0.0044,1.0,-4.789807696014978,32,5,residual_C_1.0,0.025202640006318687,0.10968677998753265,6.0,1.0
consistency,primary_lowood,primary_lowood,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9921627345454546,0.9748241121451127,0.9609180447693012,0.9503999999999999,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.00506,0.0057,1.0,1.9129695528965076,32,2,beta_0.50;beta_1.00,5.059998948127031e-05,0.0996290400158614,0.0,1.0
consistency,primary_lowood,primary_lowood,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.9926482181818181,0.9743152707444349,0.9562656920968479,0.9501090909090909,0.949090909090909,0.0,0.9490909090909091,0.9490909090909091,0.00522,0.0057,1.0,1.9149419684737314,32,2,beta_0.50;beta_0.75;beta_1.00,5.299999611452222e-05,0.10798965999856591,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F0_V1_baseline,baseline,heldout_47_51,5,0.9955963511972634,0.9750327295349486,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0,0.9669327251995439,0.9669327251995439,0.0019,0.0019,1.0,-2.4168281315697695,32,100,none,1.0278447199962102,0.029470459988806395,101.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F0_V1_baseline,baseline,main_42_46,5,0.9955963511972634,0.9750327295349486,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0,0.9669327251995439,0.9669327251995439,0.0019,0.0019,1.0,-2.4168281315697695,32,100,none,1.0698991599841974,0.031354800006374715,101.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F1_V2_top64_baseline,baseline,heldout_47_51,5,0.9811110604332953,0.9727854578991535,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.0045,0.0045,1.0,-4.102580408336336,32,64,none,0.3363348399871029,0.020682739990297704,65.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F1_V2_top64_baseline,baseline,main_42_46,5,0.9811110604332953,0.9727854578991535,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.0045,0.0045,1.0,-4.102580408336336,32,64,none,0.3353074999991804,0.020209959999192506,65.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F2_linear_alpha_selected,targeted_fusion_retry,heldout_47_51,5,0.9827901938426453,0.9737068614216348,0.9836411246655171,0.9680729760547321,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.0032,0.0032,1.0,1.8322651301399806,32,2,alpha_0.90,8.251999970525503e-05,0.1002390000037849,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F2_linear_alpha_selected,targeted_fusion_retry,main_42_46,5,0.9845877537058152,0.9757466384759432,0.9839012622978061,0.9689851767388825,0.9678449258836945,0.0005099356847206392,0.9669327251995439,0.9680729760547321,0.00262,0.0032,1.0,1.7767641808751933,32,2,alpha_0.50;alpha_0.90,8.420000085607171e-05,0.09859554000431672,0.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F3_residual_lr_selected,targeted_fusion_retry,heldout_47_51,5,0.9993243785632838,0.9944862088500755,0.983236593457596,0.9870011402508553,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.00522,0.0065,1.0,-4.34315467908838,32,5,residual_C_0.1;residual_C_1.0,0.022947939985897392,0.10139846000820399,6.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F3_residual_lr_selected,targeted_fusion_retry,main_42_46,5,0.9995380843785633,0.9952455423608992,0.98376145264521,0.9908779931584949,0.9680729760547321,0.0,0.9680729760547321,0.9680729760547321,0.0049,0.0049,1.0,-4.651984122472564,32,5,residual_C_1.0,0.023900900001171975,0.09969509999500588,6.0,1.0
locked,locked_harder_holdout,holdout_bin_5,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.9986431242873433,0.9898659193046451,0.9820424815067355,0.9744583808437856,0.9685290763968073,0.0010198713694411392,0.9680729760547321,0.9703534777651083,0.0054,0.0057,1.0,1.9470669667280993,32,2,beta_0.50;beta_0.75;beta_1.00,9.108000667765737e-05,0.09791765998816118,0.0,1.0
