holdout,support_method,budget,seed,seed_group,ood_target,target_label,threshold,attack_high_detection,ood_high_alarm,feasible_for_target,feasible_for_1pct,attack_eval_size,ood_eval_size,roc_auc,pr_auc,attack_margin_q25,attack_margin_q50,attack_margin_q75,ood_margin_q95,ood_margin_q99,train_time,inference_time,parameter_count
holdout_bin_2,kcenter_32shot,32,46,main_42_46,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.6827670000493526,0.02084930008277297,101
holdout_bin_2,kcenter_32shot,32,46,main_42_46,0.02,2pct,-3.5529003738716143,0.3353115727002967,0.0016,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.392810617621734,-18.083396563961173,4.809058659509802,-2.4782251010193925,-1.350438489923221,0.6827670000493526,0.02084930008277297,101
holdout_bin_2,kcenter_32shot,32,47,heldout_47_51,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.730192800052464,0.020799699937924743,101
holdout_bin_2,kcenter_32shot,32,47,heldout_47_51,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.730192800052464,0.020799699937924743,101
holdout_bin_2,kcenter_32shot,32,47,heldout_47_51,0.02,2pct,-3.5529003738716143,0.3353115727002967,0.0016,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.392810617621734,-18.083396563961173,4.809058659509802,-2.4782251010193925,-1.350438489923221,0.730192800052464,0.020799699937924743,101
holdout_bin_2,kcenter_32shot,32,48,heldout_47_51,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.6890147000085562,0.020774700213223696,101
holdout_bin_2,kcenter_32shot,32,48,heldout_47_51,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.6890147000085562,0.020774700213223696,101
holdout_bin_2,kcenter_32shot,32,48,heldout_47_51,0.02,2pct,-3.5529003738716143,0.3353115727002967,0.0016,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.392810617621734,-18.083396563961173,4.809058659509802,-2.4782251010193925,-1.350438489923221,0.6890147000085562,0.020774700213223696,101
holdout_bin_2,kcenter_32shot,32,49,heldout_47_51,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.6825063000433147,0.01633760007098317,101
holdout_bin_2,kcenter_32shot,32,49,heldout_47_51,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.6825063000433147,0.01633760007098317,101
holdout_bin_2,kcenter_32shot,32,49,heldout_47_51,0.02,2pct,-3.5529003738716143,0.3353115727002967,0.0016,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.392810617621734,-18.083396563961173,4.809058659509802,-2.4782251010193925,-1.350438489923221,0.6825063000433147,0.01633760007098317,101
holdout_bin_2,kcenter_32shot,32,50,heldout_47_51,0.005,0.5pct,-2.581646605551015,0.32047477744807124,0.001,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-52.36406438594234,-19.054650332281774,3.837804891189203,-3.4494788693399916,-2.3216922582438198,0.6806842999067158,0.018685299903154373,101
holdout_bin_2,kcenter_32shot,32,50,heldout_47_51,0.01,1pct,-3.126371385544741,0.3264094955489614,0.0011,True,True,1348,10000,0.39120140949554894,0.4045698979159527,-51.81933960594861,-18.509925552288045,4.382529671182929,-2.904754089346266,-1.7769674782500944,0.6806842999067158,0.018685299903154373,101
