weighting,role,attack_label,device,support_coverage,rows_per_seed,parent_detection_mean,temporal_detection_mean,temporal_attack_mean,temporal_attack_p50_mean
medium_mass_ratio_recalibrated,future_query,TCP Scan,ip-camera-museum,unseen_in_support,12000.0,0.9998333333333334,0.9998333333333334,0.999654037779372,0.9998206696579218
medium_mass_ratio_recalibrated,sealed_final_attack,Merlin TCP Flooding,ip-camera-street,seen_in_support,15000.0,1.0,0.9998533333333334,0.999674033604798,0.9998206696579218
strict_frozen_weight4,same_file_query,Merlin TCP Flooding,city-power,seen_in_support,12000.0,0.9998666666666667,0.9998666666666667,0.999687364155082,0.9998206696579218
strict_frozen_weight4,sealed_final_attack,Merlin UDP Flooding,ip-camera-street,seen_in_support,4996.0,0.9998799039231385,0.9998799039231385,0.9997005986485585,0.9998206696579218
strict_frozen_weight4,future_query,Merlin UDP Flooding,building-monitor,seen_in_support,5000.0,0.99988,0.99988,0.9997006947053659,0.9998206696579218
strict_frozen_weight4,same_file_query,Mirai UDP Flooding,city-power,seen_in_support,12000.0,0.9999166666666667,0.9999166666666667,0.9997373537186468,0.9998206696579218
medium_mass_ratio_recalibrated,sealed_final_attack,Merlin ICMP Flooding,ip-camera-street,seen_in_support,10011.0,1.0,0.9999400659274797,0.9997607480953628,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Merlin ICMP Flooding,ip-camera-museum,seen_in_support,7038.0,1.0,0.9999431656720659,0.9997638471929432,0.9998206696579218
strict_frozen_weight4,future_query,Merlin UDP Flooding,combined-cycle,seen_in_support,5000.0,0.99996,0.99996,0.9997806780070698,0.9998206696579218
strict_frozen_weight4,same_file_query,Merlin TCP Flooding,ip-camera-museum,seen_in_support,12000.0,0.9999833333333333,0.9999833333333333,0.9998040064700668,0.9998206696579218
medium_mass_ratio_recalibrated,sealed_final_attack,Mirai GRE Flooding,ip-camera-street,seen_in_support,15000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,sealed_final_attack,Mirai TCP Flooding,ip-camera-street,seen_in_support,15000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,sealed_final_attack,Mirai UDP Flooding,ip-camera-street,seen_in_support,15000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,sealed_final_attack,Mirai GRE Flooding,ip-camera-street,seen_in_support,15000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
strict_frozen_weight4,sealed_final_attack,Mirai UDP Flooding,ip-camera-street,seen_in_support,15000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Merlin TCP Flooding,ip-camera-museum,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Mirai GRE Flooding,city-power,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Mirai GRE Flooding,ip-camera-museum,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Mirai TCP Flooding,city-power,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
medium_mass_ratio_recalibrated,same_file_query,Mirai TCP Flooding,ip-camera-museum,seen_in_support,12000.0,1.0,1.0,0.9998206696579218,0.9998206696579218
