candidate,variant,kind,env_field,adv_lambda,split,seed,role,phase,rows,attack_threshold,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,review_count,hard_count,attack_score_mean,conflict_score_mean
CKN_C0_c4_histgb_seed44,C0_c4_histgb,histgb,,0.0,main,44,ood_stress,select,79950,0.01336644857623776,0.004427767354596623,0.004277673545966229,0.000150093808630394,342,12,0.0005991855133472104,0.9984640062103365
CKN_C0_c4_histgb_seed44,C0_c4_histgb,histgb,,0.0,main,44,support_val,select,69,0.01336644857623776,1.0,0.014492753623188406,0.9855072463768116,1,68,0.9810775614461015,0.018106282767253977
CKN_C0_c4_histgb_seed44,C0_c4_histgb,histgb,,0.0,main,44,same_file_query,select,67749,0.01336644857623776,1.0,0.002228815185463992,0.997771184814536,151,67598,0.9848472620839098,0.011096384498680391
CKN_C0_c4_histgb_seed44,C0_c4_histgb,histgb,,0.0,main,44,future_query,select,228649,0.01336644857623776,0.9991121763051665,0.0162082493253852,0.9829039269797812,3706,224740,0.8800494612657426,0.09091043363366344
CKN_C0_c4_histgb_seed44,C0_c4_histgb,histgb,,0.0,main,44,sealed_final_ood,all,154900,0.01336644857623776,0.09717882504841834,0.09509360877985797,0.0020852162685603614,14730,323,0.008878411234574387,0.9898813510336176
CKN_C0_c4_histgb_seed44,C0_c4_histgb,histgb,,0.0,main,44,sealed_final_attack,all,110104,0.01336644857623776,0.9985014168422582,0.003505776356898932,0.9949956404853593,386,109553,0.9817416268132397,0.012701728998158274
CKN_N1_mlp_erm_seed44,N1_mlp_erm,neural,,0.0,main,44,id_calib,select,51497,0.7477525472640991,0.0001553488552731227,0.0,0.0001553488552731227,0,8,0.0031334323333949954,0.9804316699346572
CKN_N1_mlp_erm_seed44,N1_mlp_erm,neural,,0.0,main,44,ood_val,select,12205,0.7477525472640991,0.009832036050798854,0.0,0.009832036050798854,0,120,0.010465735666721538,0.9503047092265645
CKN_N1_mlp_erm_seed44,N1_mlp_erm,neural,,0.0,main,44,ood_stress,select,79950,0.7477525472640991,0.0071044402751719825,0.0,0.0071044402751719825,0,568,0.007239354632757257,0.9921264610258614
CKN_N1_mlp_erm_seed44,N1_mlp_erm,neural,,0.0,main,44,support_val,select,69,0.7477525472640991,0.9710144927536232,0.0,0.9710144927536232,0,67,0.9854256959928982,0.013774247258293215
CKN_N1_mlp_erm_seed44,N1_mlp_erm,neural,,0.0,main,44,same_file_query,select,67749,0.7477525472640991,0.960058451047248,0.0,0.960058451047248,0,65043,0.9598386266468287,0.039736281336287815
CKN_N1_mlp_erm_seed44,N1_mlp_erm,neural,,0.0,main,44,future_query,select,228649,0.7477525472640991,0.9230786051983608,0.0,0.9230786051983608,0,211061,0.9441721078968074,0.04728219291696425
CKN_N1_mlp_erm_seed44,N1_mlp_erm,neural,,0.0,main,44,sealed_final_ood,all,154900,0.7477525472640991,0.004622336991607488,0.0,0.004622336991607488,0,716,0.004748175436671328,0.9950383051300544
CKN_N1_mlp_erm_seed44,N1_mlp_erm,neural,,0.0,main,44,sealed_final_attack,all,110104,0.7477525472640991,0.7343148296156361,0.0,0.7343148296156361,0,80851,0.7405388956222557,0.2589050663952425
CKN_N2_dann_device_family_seed44,N2_dann_device_family,neural,device_family,0.2,main,44,id_calib,select,51497,0.9829044371843313,0.0,0.0,0.0,0,0,0.06146015502238052,0.8936338834800207
CKN_N2_dann_device_family_seed44,N2_dann_device_family,neural,device_family,0.2,main,44,ood_val,select,12205,0.9829044371843313,0.0003277345350266284,0.0,0.0003277345350266284,0,4,0.01997548929733422,0.9439945772036129
CKN_N2_dann_device_family_seed44,N2_dann_device_family,neural,device_family,0.2,main,44,ood_stress,select,79950,0.9829044371843313,0.010006253908692933,0.0,0.010006253908692933,0,800,0.012623062057004912,0.9868117194243046
CKN_N2_dann_device_family_seed44,N2_dann_device_family,neural,device_family,0.2,main,44,support_val,select,69,0.9829044371843313,0.9565217391304348,0.0,0.9565217391304348,0,66,0.9937914100246154,0.0037382732602781418
CKN_N2_dann_device_family_seed44,N2_dann_device_family,neural,device_family,0.2,main,44,same_file_query,select,67749,0.9829044371843313,0.9342720925770122,0.0,0.9342720925770122,0,63296,0.9959370404821691,0.002755177985546542
CKN_N2_dann_device_family_seed44,N2_dann_device_family,neural,device_family,0.2,main,44,future_query,select,228649,0.9829044371843313,0.751383124352173,0.0,0.751383124352173,0,171803,0.9411952889858809,0.039676643586947204
CKN_N2_dann_device_family_seed44,N2_dann_device_family,neural,device_family,0.2,main,44,sealed_final_ood,all,154900,0.9829044371843313,0.004654615881213686,0.0,0.004654615881213686,0,721,0.0073409000185287974,0.9924895012738684
