variant,exact_attack_label,requested_prototypes,effective_prototypes,shell_scheme,core_radius,near_radius,uncertain_radius
E128_nested_source_time_balanced,File Download,2,1,medium,1.4542058385618981,1.8729707963529703,2.06095111838947
E128_nested_source_time_balanced,File Download,2,1,wide,1.8963905974472584,2.06095111838947,2.164167407339389
E128_nested_source_time_balanced,Ingress Tool Transfer,2,2,tight,2.0873773934112902,2.142036875989738,2.3160071556398876
E128_nested_source_time_balanced,Ingress Tool Transfer,2,2,medium,2.1422629805189466,2.3160071556398876,2.4271274134876846
E128_nested_source_time_balanced,Ingress Tool Transfer,2,2,wide,2.3354004184708996,2.4271274134876846,2.4836682262051175
E128_nested_source_time_balanced,Merlin C&C Communication,2,1,tight,2.410127748141852,2.4955829164079146,2.5739947852334955
E128_nested_source_time_balanced,Merlin C&C Communication,2,1,medium,2.5023501194779882,2.5739947852334955,2.6226192785451556
E128_nested_source_time_balanced,Merlin C&C Communication,2,1,wide,2.575994769769664,2.6226192785451556,2.6360489054558514
E128_nested_source_time_balanced,Merlin ICMP Flooding,2,1,tight,1.6518292803239678,1.7671427068216765,1.8095277585448557
E128_nested_source_time_balanced,Merlin ICMP Flooding,2,1,medium,1.7570539840702835,1.8095277585448557,1.8420265259093958
E128_nested_source_time_balanced,Merlin ICMP Flooding,2,1,wide,1.772575980153334,1.8420265259093958,2.0965667465554927
E128_nested_source_time_balanced,Merlin TCP Flooding,2,2,tight,2.1634612590076023,2.234445331897583,2.294959621019592
E128_nested_source_time_balanced,Merlin TCP Flooding,2,2,medium,2.235278320404432,2.294959621019592,2.3742843138399046
E128_nested_source_time_balanced,Merlin TCP Flooding,2,2,wide,2.295633664984577,2.3742843138399046,2.4141864716092716
E128_nested_source_time_balanced,Merlin UDP Flooding,2,2,tight,2.0690386481044296,2.162709459821092,2.198714764187867
E128_nested_source_time_balanced,Merlin UDP Flooding,2,2,medium,2.177101232038482,2.198714764187867,2.202027852821916
E128_nested_source_time_balanced,Merlin UDP Flooding,2,2,wide,2.200237127901933,2.202027852821916,2.2027714254258184
E128_nested_source_time_balanced,Mirai C&C Communication,2,1,tight,1.8818722994547605,2.235999257663301,2.324983535645831
E128_nested_source_time_balanced,Mirai C&C Communication,2,1,medium,2.222740929116126,2.324983535645831,2.397409400871244
E128_nested_source_time_balanced,Mirai C&C Communication,2,1,wide,2.2929007466716467,2.397409400871244,2.4284911925450365
E128_nested_source_time_balanced,Mirai GRE Flooding,2,2,tight,1.7750870050183196,1.8342929077964207,1.9206812703293354
E128_nested_source_time_balanced,Mirai GRE Flooding,2,2,medium,1.8342929077964207,1.9206812703293354,1.9844848872953273
