evidence_space,exact_attack_label,median_top1_fraction,median_top5_fraction,dominant_feature,MI_dir_mean_share,H_mean_share,HH_mean_share,HH_jit_mean_share,HpHp_mean_share
S2_raw_family_balanced,Merlin ICMP Flooding,0.03368175309820984,0.1684087654910492,HH_jit_5_weight,0.1538052922407587,0.15384911656389386,0.23058068293729517,0.4331782879388631,0.005330806365700891
S2_raw_family_balanced,Merlin TCP Flooding,0.04676659767979334,0.2338329883989667,HH_jit_5_std,0.10830977318226336,0.10862971931426726,0.1669768091763656,0.5844567553289282,0.014960276331509184
S2_raw_family_balanced,Merlin UDP Flooding,0.025231933710763738,0.12615966855381866,HH_jit_5_weight,0.15636918936383737,0.1568906623924484,0.18918454976658558,0.46422226514379544,0.0
S2_raw_family_balanced,Mirai C&C Communication,0.024755928181094265,0.12377964090547132,MI_dir_5_std,0.20255302592355948,0.20263516395988954,0.22749902214142764,0.21590196537614267,0.04029971148786948
S2_raw_family_balanced,Mirai GRE Flooding,0.0354059864487079,0.1770299322435395,HH_jit_5_weight,0.12839623744937895,0.12842784169974614,0.1815889979555649,0.5437563735225341,0.0011638827061091163
S2_raw_family_balanced,Mirai TCP Flooding,0.03841376512537259,0.19206882562686298,HH_jit_5_std,0.10733399904399483,0.1074676949807222,0.1534303183657079,0.5437111653587458,0.07139015558416267
S2_raw_family_balanced,Mirai UDP Flooding,0.03728644922096171,0.18643224610480852,HH_jit_5_weight,0.1963105465296284,0.19706884168421068,0.20557825740628508,0.38278035844116093,0.0015953292720483317
S3_bounded_heavytail_family_balanced,File Download,0.16092256243898004,0.6404751519458892,HH_jit_5_weight,0.012212439374277965,0.01220789529663031,0.13662740321004743,0.5464459699294459,0.22583962552293166
S3_bounded_heavytail_family_balanced,Ingress Tool Transfer,0.05942335876421088,0.2971167938210544,HH_jit_5_weight,0.00999042580968149,0.009906180586653247,0.1572668742398717,0.6325454783873443,0.13473548542089364
S3_bounded_heavytail_family_balanced,Merlin C&C Communication,0.05967123363866732,0.2983561681933366,HH_jit_5_std,0.04845098586484104,0.048149655393690226,0.1262046483993719,0.6371281154936902,0.10673326151507326
S3_bounded_heavytail_family_balanced,Merlin ICMP Flooding,0.10977876944308537,0.5017495969008094,HH_jit_5_weight,0.09042247407129228,0.09001648818824842,0.1150563336521599,0.6716122650851212,0.009636625049689894
S3_bounded_heavytail_family_balanced,Merlin TCP Flooding,0.06503530171303307,0.3251765085651653,HH_jit_1_mean,0.03785026848989499,0.03773820587188181,0.1028740989417606,0.7885789464537516,0.016291813576044468
S3_bounded_heavytail_family_balanced,Merlin UDP Flooding,0.07147535651866088,0.35737678259330447,HH_jit_3_mean,0.038749474975641435,0.03858432042245918,0.03192626197868358,0.8574066092898824,0.0
S3_bounded_heavytail_family_balanced,Mirai C&C Communication,0.07285449594724741,0.3389867253081582,HH_jit_5_weight,0.05426994715350535,0.053712528351418584,0.1659140888971427,0.5344691846963083,0.0805231397905138
S3_bounded_heavytail_family_balanced,Mirai GRE Flooding,0.09019968228133986,0.4509984114066993,HH_jit_5_weight,0.036429569522830114,0.036049738423746994,0.04540405160663255,0.8643487756395282,0.0011011981405955602
S3_bounded_heavytail_family_balanced,Mirai TCP Flooding,0.07300130910022387,0.36500654550111933,HH_jit_5_weight,0.05455046635081226,0.054307284886804245,0.0562167777406323,0.803558864259415,0.014699940095669372
S3_bounded_heavytail_family_balanced,Mirai UDP Flooding,0.18799283501299247,0.9399641750649623,HH_jit_5_weight,0.09194636764067496,0.09140486733318248,0.05080292106757483,0.7472368826386637,0.001942294653237105
