evaluation_role,dataset,holdout,split_protocol,head_id,head_family,head_label,protocol_variant,train_uses_ood_guard,threshold_uses_ood_val_guard,selected_config_id,seed,seed_group,feature_input,feature_dim,support_method,support_count,ood_target,threshold_source,threshold,attack_detection,final_ood_alarm,id_calib_alarm,ood_val_alarm,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,pauc_fpr_1pct,tpr_at_fpr_1pct,feasible_under_1pct,attack_eval_size,final_ood_eval_size,train_time,inference_time,param_count,selection_used_final_eval,threshold_uses_final_eval,hyperparameter_uses_final_eval
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,HistGB_shallow,histgb,HistGB shallow,P3_full_lowguard,True,True,histgb_depth2_iter50_lr005,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,0.0007699391682319002,0.9669327251995439,0.0055,0.0028,0.0065,0.9965497149372862,0.9824851760155361,0.9834061986099253,0.9680729760547321,True,877,10000,0.15472609997959808,0.01654949999647215,50,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DeepSAD_like_center,deepsad_like_center,DeepSAD-like center,P0_raw_train_id_threshold,False,False,center_lambda0,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,368.8057672119144,0.03078677309007982,0.2736,0.01,0.267,0.3696525655644242,0.05895249390758186,0.49748743718592964,0.0,False,877,10000,0.00822010001866147,0.010100000014062971,128,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DeepSAD_like_center,deepsad_like_center,DeepSAD-like center,P1_raw_train_oodval_threshold,False,True,center_lambda0,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,16514.30026855469,0.0,0.0088,0.0,0.01,0.3696525655644242,0.05895249390758186,0.49748743718592964,0.0,True,877,10000,0.01260840002214536,0.009699399990495294,128,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DeepSAD_like_center,deepsad_like_center,DeepSAD-like center,P2_guarded_train_id_threshold,True,False,center_lambda2,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,512.7422131347663,0.12086659064994298,0.0268,0.01,0.0215,0.8261974914481185,0.2349829614422868,0.5131931034877925,0.07297605473204105,False,877,10000,0.017403199977707118,0.009180599998217076,128,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DeepSAD_like_center,deepsad_like_center,DeepSAD-like center,P3_full_lowguard,True,True,center_lambda1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,461.7895325088493,0.03876852907639681,0.0115,0.0014,0.01,0.8265279361459521,0.22264665645230236,0.5017103762827823,0.03534777651083238,False,877,10000,0.018091299978550524,0.009917099960148335,128,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,Prototype_metric_LR,prototype_metric_lr,Prototype / metric LR,P0_raw_train_id_threshold,False,False,prototype_metric_lr_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,2.9725521564011768,0.10148232611174458,0.0547,0.01,0.0505,0.7091856328392246,0.16809916948295667,0.49748743718592964,0.0,False,877,10000,0.00922869995702058,0.007220699975732714,132,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,Prototype_metric_LR,prototype_metric_lr,Prototype / metric LR,P1_raw_train_oodval_threshold,False,True,prototype_metric_lr_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,3.426539629259672,0.0,0.0081,0.0,0.01,0.7091856328392246,0.16809916948295667,0.49748743718592964,0.0,True,877,10000,0.009244599961675704,0.006708300032187253,132,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,Prototype_metric_LR,prototype_metric_lr,Prototype / metric LR,P2_guarded_train_id_threshold,True,False,prototype_metric_lr_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,2.0207419884223023,0.2645381984036488,0.0094,0.01,0.007,0.9340183580387683,0.49847009590096475,0.5235183901262298,0.29646522234891676,True,877,10000,0.026521800027694553,0.015054300019983202,198,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,Prototype_metric_LR,prototype_metric_lr,Prototype / metric LR,P3_full_lowguard,True,True,prototype_metric_lr_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,2.021098766274577,0.2645381984036488,0.0094,0.0098,0.007,0.9340183580387683,0.49847009590096475,0.5235183901262298,0.29646522234891676,True,877,10000,0.024157700012438,0.014542800025083125,198,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,RFF_Logistic,rff_logistic,RFF Logistic optional,P0_raw_train_id_threshold,False,False,rff256_gamma1_C1,43,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.9520713724720969,0.012542759407069556,0.0207,0.01,0.0205,0.48096066134549603,0.07661367185166523,0.4988969935194788,0.009122006841505131,False,877,10000,0.3888372000074014,0.041752499993890524,16641,False,False,False
