protocol,fold,bundle,candidate,causal,feature_dim,train_rows,train_sources,train_attack_families,test_rows,test_attack_rows,test_benign_rows,test_sources,test_attack_families,auroc,average_precision,attack_score_mean,benign_score_mean,score_margin,inner_oof_status,threshold_status,threshold,model_seed,outer_attack_recall,outer_benign_fpr,outer_worst_attack_family_recall
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-combined-cycle-10.csv,Current20,True,True,20,6744,6,8,1927,33,1894,2,2,1.0,1.0,0.5365311643302149,0.009033731207884668,0.5274974331223302,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030860426322446,1836217387,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-combined-cycle-10.csv,CompactProcess69,True,True,69,6744,6,8,1927,33,1894,2,2,0.9999360020479344,0.9965367965367965,0.9499907072985503,0.010101159403454763,0.9398895478950955,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.006955603579656105,1303147736,1.0,0.9989440337909187,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-combined-cycle-10.csv,CompactProcess69_history_permuted,False,False,69,6744,6,8,1927,33,1894,2,2,1.0,1.0,0.9790740018839136,0.009166886359210718,0.9699071155247029,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009954710688610856,1931933384,1.0,0.01689545934530095,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-combined-cycle-10.csv,C1_207_upper_bound,True,True,207,6744,6,8,1927,33,1894,2,2,1.0,1.0,0.9908703672415469,0.009071969234673346,0.9817983980068735,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030105852765823,2105735547,1.0,0.016367476240760296,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,TGN9_exact,True,True,9,6562,6,8,2109,215,1894,2,8,1.0,1.0,0.9629141413787077,0.00991906967688398,0.9529950717018237,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030860426322446,116874191,1.0,0.191129883843717,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,Current20,True,True,20,6562,6,8,2109,215,1894,2,8,0.9995506004272979,0.9962423208799522,0.9205805308806053,0.010521063569523308,0.910059467311082,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.007824026204059375,916395747,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,CompactProcess69,True,True,69,6562,6,8,2109,215,1894,2,8,0.9988679059944501,0.9851852428011512,0.9158022813473722,0.010074105009486977,0.9057281763378852,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009031398381030852,1350251666,1.0,0.0337909186906019,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,CompactProcess69_history_permuted,False,False,69,6562,6,8,2109,215,1894,2,8,0.999214164681614,0.9893306659998333,0.9301263677215887,0.009051049009869326,0.9210753187117194,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009031398381030852,1602369184,1.0,0.0337909186906019,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-ip-camera-museum-1.csv,C1_207_upper_bound,True,True,207,6562,6,8,2109,215,1894,2,8,0.9903833402912503,0.9832919823127901,0.9726680909442024,0.009086709880880454,0.9635813810633219,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030633431654493,173597022,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-city-power-1.csv,TGN9_exact,True,True,9,6640,6,10,2031,137,1894,2,6,1.0,1.0,0.9864252268964605,0.009274385953689214,0.9771508409427713,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009032691555793526,381660737,1.0,0.21647307286166842,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-city-power-1.csv,Current20,True,True,20,6640,6,10,2031,137,1894,2,6,1.0,1.0,0.970185574885227,0.009034156178186283,0.9611514187070408,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.003294902343876972,1519894335,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-city-power-1.csv,CompactProcess69,True,True,69,6640,6,10,2031,137,1894,2,6,0.9999730227610819,0.9994695119469359,0.9846045535012355,0.01036330980785106,0.9742412436933845,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009031398381030852,174180336,1.0,0.04276663146779303,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-city-power-1.csv,CompactProcess69_history_permuted,False,False,69,6640,6,10,2031,137,1894,2,6,0.9996608575678863,0.9905954710124646,0.9883554460364596,0.009574586749300652,0.978780859287159,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009031398381030852,1803542987,1.0,0.04276663146779303,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-city-power-1.csv,C1_207_upper_bound,True,True,207,6640,6,10,2031,137,1894,2,6,0.9986472841628191,0.980660322663361,0.6731720781312598,0.010585463444428816,0.662586614686831,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030105852765823,120976263,1.0,0.032206969376979935,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-combined-cycle-10.csv,TGN9_exact,True,True,9,6744,6,8,1927,33,1894,2,2,1.0,1.0,0.7275245678181272,0.009342802090435252,0.718181765727692,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030860426322446,1480635378,1.0,0.06810982048574446,1.0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-combined-cycle-10.csv,Current20,True,True,20,6744,6,8,1927,33,1894,2,2,1.0,1.0,0.5365311643302149,0.009033731207884668,0.5274974331223302,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009030860426322446,782168347,1.0,1.0,1.0
