candidate,regime,feature_set,architecture,role,support_coverage,attack_label,rows,hard_alarm_rate,conflict_review_rate
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai TCP Flooding,15000,0.8420666666666666,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai UDP Flooding,15000,0.9996,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,C&C Communication,90,0.3,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,Reporting,74,0.3108108108108108,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,TCP Scan,15000,0.4512,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,Telnet Brute Force,15000,0.8678666666666667,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,File Download,3,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Ingress Tool Transfer,3,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Merlin C&C Communication,5,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Merlin ICMP Flooding,8,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Merlin TCP Flooding,11,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Merlin UDP Flooding,6,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Mirai C&C Communication,2,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Mirai GRE Flooding,10,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Mirai TCP Flooding,10,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Mirai UDP Flooding,11,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,File Download,105,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Ingress Tool Transfer,2381,0.012179756404871903,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Merlin C&C Communication,6827,0.9576680826131536,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Merlin ICMP Flooding,7038,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Merlin TCP Flooding,12000,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Merlin UDP Flooding,3292,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Mirai C&C Communication,106,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Mirai GRE Flooding,12000,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Mirai TCP Flooding,12000,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Mirai UDP Flooding,12000,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,File Download,623,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Ingress Tool Transfer,1986,0.18277945619335348,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Merlin C&C Communication,5213,0.8653366583541147,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Merlin ICMP Flooding,9886,0.9275743475622091,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Merlin TCP Flooding,12596,0.9981740234995237,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Merlin UDP Flooding,5248,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Mirai C&C Communication,188,0.09574468085106383,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Mirai GRE Flooding,12595,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Mirai TCP Flooding,12595,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,seen_in_support,Mirai UDP Flooding,12596,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,C&C Communication,91,0.08791208791208792,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,CoAP Amplification,6298,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,Reporting,71,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,TCP Scan,18894,0.5062982957552662,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,Telnet Brute Force,18894,0.4224621572986133,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,unseen_in_support,UDP Scan,2226,0.029649595687331536,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,File Download,1231,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Ingress Tool Transfer,3702,0.9997298757428417,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin ICMP Flooding,10011,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin TCP Flooding,15000,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin UDP Flooding,4996,0.9997998398718975,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai GRE Flooding,15000,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai TCP Flooding,15000,1.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai UDP Flooding,15000,0.9996,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,C&C Communication,90,0.4666666666666667,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,Reporting,74,0.43243243243243246,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,TCP Scan,15000,0.5097333333333334,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,Telnet Brute Force,15000,0.9998666666666667,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,File Download,3,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Ingress Tool Transfer,3,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Merlin C&C Communication,5,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Merlin ICMP Flooding,8,1.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,support_val,seen_in_support,Merlin TCP Flooding,11,1.0,0.0
