candidate,regime,feature_set,architecture,role,phase,source_group,device,rows,hard_alarm_rate,conflict_review_rate,attack_score_mean,hard_ood_score_mean
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.12763272067523862,0.0,0.17472288844909634,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.6242606620317526,0.0,0.7005445682248119,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,0.915428390768258,0.0,0.9128805510245376,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.0027249236551562133,0.0,0.04584417928183226,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.009143742735373887,0.0,0.10449664369701252,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.8710219428903582,0.0,0.8878013313583966,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,4.460701222232135e-05,0.0,0.0002162298180100045,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,4.459308807134894e-05,0.0,0.0002161191943739447,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.00019956096587507485,0.0,0.0003747666750064379,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0006086427267194157,0.0,0.0007930076121716786,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.007358953393295176,0.0,0.0016524806216189885,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.002879473467708762,0.0,0.0012769645656201748,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.0020567667626491155,0.0,0.0008519607007183553,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.004497138184791497,0.0,0.0014004043867949184,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.0028559771521827824,0.0,0.0004042491392953077,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.009843652282676673,0.0,0.001171421195852113,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.0,0.9997045813763367,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.0,0.9092044748056494,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,1.0,0.0,0.9825409331562771,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,0.053901850362027354,0.0,0.049355736172307964,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9955717634800729,0.0,0.9935887001521354,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.9342812889902337,0.0,0.9298597447600429,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.18805711130393626,0.0,0.16788586430701452,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.7418283698246342,0.0,0.7321153747577892,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,1.0,0.0,0.99761214264718,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.016819356354240075,0.0,0.005101682146314743,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.10816221102931681,0.0,0.009691910533143938,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.9323003705587445,0.0,0.9048607479565673,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0,0.0004460701222232135,0.0004808573136621773,0.00017587038659970202
