seed,role,scorer,rows,raw_false_negative_rate,gate_false_negative_rate_among_all_rows,gate_false_negative_rate_among_raw_alarm,hard_alarm_rate,raw_alarm_rate,median_score_strength_hard,median_score_strength_missed,attack_outer_missed_p50,benign_outer_missed_p50
45,pseudo_medium_query,shared,28,0.35714285714285715,0.0,0.0,0.6428571428571429,0.6428571428571429,0.7777824568350231,-0.09301699345221213,0.23229798674583435,0.0005726690287701786
45,pseudo_heavy_query,two_head,33,0.0,0.12121212121212122,0.12121212121212122,0.8787878787878788,1.0,0.9430610497326193,0.9430610497326193,1.0337663292884827,0.008212452754378319
45,pseudo_heavy_query,shared,33,0.09090909090909091,0.12121212121212122,0.13333333333333333,0.7878787878787878,0.9090909090909091,0.2837625728577728,0.033823749562597996,1.0092862844467163,0.009764241985976696
45,medium_attack_eval_report_only,two_head,2250,0.06266666666666666,0.2648888888888889,0.28259838786154573,0.6724444444444444,0.9373333333333334,0.8025195692301266,0.16313980838554615,0.28222501277923584,0.0009118212619796395
45,medium_attack_eval_report_only,shared,2250,0.08133333333333333,0.01911111111111111,0.02080309627479439,0.8995555555555556,0.9186666666666666,0.41681949829148723,-0.031793879635124284,0.29638680815696716,0.0007302223239094019
46,support_medium_val,two_head,16,0.0625,0.1875,0.2,0.75,0.9375,0.859582466218392,0.15272863597517627,0.12437885254621506,0.0005144401220604777
46,support_medium_val,shared,16,0.1875,0.0,0.0,0.8125,0.8125,0.7288902882920164,-0.14279599645565677,0.12467210739850998,0.0005070194019936025
46,support_heavy_val,two_head,8,0.0,0.0,0.0,1.0,1.0,0.9467315461713096,nan,nan,nan
46,support_heavy_val,shared,8,0.0,0.0,0.0,1.0,1.0,0.7069402596989668,nan,nan,nan
46,pseudo_medium_query,two_head,66,0.06060606060606061,0.13636363636363635,0.14516129032258066,0.803030303030303,0.9393939393939394,0.8252635328682809,0.2563407315932066,0.14096862077713013,0.0009371190681122243
46,pseudo_medium_query,shared,66,0.09090909090909091,0.12121212121212122,0.13333333333333333,0.7878787878787878,0.9090909090909091,0.6987395741671738,0.013966168806908139,0.150437131524086,0.0012459855061024427
46,pseudo_heavy_query,two_head,35,0.0,0.05714285714285714,0.05714285714285714,0.9428571428571428,1.0,0.9467315461713096,0.5184710896232947,0.6612417548894882,0.00492272712290287
46,pseudo_heavy_query,shared,35,0.05714285714285714,0.17142857142857143,0.18181818181818182,0.7714285714285715,0.9428571428571428,0.4354766840237687,0.2636638812059644,0.32977938652038574,0.01523296907544136
46,medium_attack_eval_report_only,two_head,2250,0.008,0.05377777777777778,0.05421146953405018,0.9382222222222222,0.992,0.7299589677949739,0.23156026116749925,0.1248340904712677,0.0007292618392966688
46,medium_attack_eval_report_only,shared,2250,0.29644444444444445,0.06933333333333333,0.09854706253948199,0.6342222222222222,0.7035555555555556,0.30187217629253094,-0.03869174934768685,0.12518030405044556,0.0008047998999245465
