regime,feature_set,model,role,phase,source_group,device,rows,hard_alarm_rate,score_mean
label_rich_upper,raw115,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.0053475935828877,0.00019199220459592426
label_rich_upper,raw115,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.009811937857726901,0.00019748148684540666
label_rich_upper,raw115,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.009383924928600572,0.0004278359830229932
label_rich_upper,raw115,histgb_stronger,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.0024390243902439024,0.00024911968849298366
label_rich_upper,raw115,histgb_stronger,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.9566864055801787,0.8928987623671673
label_rich_upper,raw115,histgb_stronger,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.6985200845665962,0.0029336638700268895
label_rich_upper,raw115,histgb_stronger,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.7752679839855353,0.016496297033088858
label_rich_upper,evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0037915960388973146,0.00210024500807418
label_rich_upper,evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.0035674470457079154,0.001969555975432998
label_rich_upper,evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.003592097385751347,0.0024480924195993195
label_rich_upper,evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.00426049908703591,0.003794514425652343
label_rich_upper,evidence,histgb_stronger,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.9919179366894749
label_rich_upper,evidence,histgb_stronger,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.8461620383450819
label_rich_upper,evidence,histgb_stronger,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,0.975,0.953762230372128
label_rich_upper,evidence,histgb_stronger,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,1.0,0.9953814839378976
label_rich_upper,evidence,histgb_stronger,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9807701147664067,0.9611343602528779
label_rich_upper,evidence,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.9692810738717033,0.9517153175990358
label_rich_upper,evidence,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.9922694643843181,0.970085585510822
label_rich_upper,evidence,histgb_stronger,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.9972398049185431,0.9798119292454609
label_rich_upper,evidence,histgb_stronger,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,0.9839551059121088,0.9028580634863957
label_rich_upper,evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.01062959934587081,0.00656666455015702
label_rich_upper,evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.005758946935417524,0.0038664489710243145
label_rich_upper,evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.002879473467708762,0.002600007467710346
label_rich_upper,evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.006541291905151268,0.0037887136000997615
label_rich_upper,evidence,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.006119951040391677,0.00513664861622765
label_rich_upper,evidence,histgb_stronger,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.006779237023139462,0.0036956593143112637
label_rich_upper,evidence,histgb_stronger,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.9067881275884618,0.8650788281195962
label_rich_upper,evidence,histgb_stronger,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.006412966878083157,0.0039104129886237595
label_rich_upper,evidence,histgb_stronger,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.016040294459511818,0.013158675301199824
label_rich_upper,temporal,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0002676420733339281,0.0001854865097523751
label_rich_upper,temporal,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.00013377926421404682,0.00017969990342043917
label_rich_upper,temporal,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.00019956096587507485,0.00017941040511539988
label_rich_upper,temporal,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0012172854534388314,0.00021887101148083805
label_rich_upper,temporal,histgb_stronger,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.9894683796760377
label_rich_upper,temporal,histgb_stronger,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.9910684004841417
label_rich_upper,temporal,histgb_stronger,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,1.0,0.997072025762906
label_rich_upper,temporal,histgb_stronger,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,1.0,0.9988062438579985
label_rich_upper,temporal,histgb_stronger,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,1.0,0.9922799997945755
label_rich_upper,temporal,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.9993761562621004,0.9937762144924049
label_rich_upper,temporal,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,1.0,0.9986210612405124
label_rich_upper,temporal,histgb_stronger,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,1.0,0.9993661367495879
label_rich_upper,temporal,histgb_stronger,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,1.0,0.9924489527045545
label_rich_upper,temporal,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.007358953393295176,0.0018527550459761265
label_rich_upper,temporal,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.002879473467708762,0.0006044637780519363
label_rich_upper,temporal,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.0020567667626491155,0.0005860563687071399
label_rich_upper,temporal,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.0028618152085036794,0.0006896860007043999
label_rich_upper,temporal,histgb_stronger,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.00897592819257446,0.003302614278675207
label_rich_upper,temporal,histgb_stronger,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.010006253908692933,0.001854951169296058
label_rich_upper,temporal,histgb_stronger,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,1.0,0.9816898581394992
label_rich_upper,temporal,histgb_stronger,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.006929762743716232,0.0016367149259667174
label_rich_upper,temporal,histgb_stronger,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.12566188815704507,0.07482190770409307
label_rich_upper,raw_plus_temporal,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0011151753055580337,0.00017378071877908094
label_rich_upper,raw_plus_temporal,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.0006688963210702341,0.00017279429518767992
label_rich_upper,raw_plus_temporal,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.002195170624625823,0.00017611955926204208
label_rich_upper,raw_plus_temporal,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.002434570906877663,0.000178578156915507
label_rich_upper,raw_plus_temporal,histgb_stronger,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.9996571672372919
label_rich_upper,raw_plus_temporal,histgb_stronger,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.9733627610778867
label_rich_upper,raw_plus_temporal,histgb_stronger,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,1.0,0.9579959727057001
label_rich_upper,raw_plus_temporal,histgb_stronger,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,1.0,0.9997663574435081
label_rich_upper,raw_plus_temporal,histgb_stronger,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,1.0,0.9997004023217653
label_rich_upper,raw_plus_temporal,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,1.0,0.998647575225964
label_rich_upper,raw_plus_temporal,histgb_stronger,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,1.0,0.9984147925743144
label_rich_upper,raw_plus_temporal,histgb_stronger,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,1.0,0.9994936249668802
