group,delta,c1_score_at_delta,L1_final_hard_rate,L1_veto_fire_rate,L1_newly_fired_rate,L2_final_hard_rate,L2_newly_fired_rate,n_rows,n_c1_covered,m7_hard_rate,frozen_ckbq_hard_rate
support_val_69,-0.0007382550335570471,0.997346944865583,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007281879194630872,0.997357011979677,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007181208053691276,0.9973670790937709,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0007080536912751678,0.9973771462078649,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.000697986577181208,0.9973872133219588,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006879194630872484,0.9973972804360528,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006778523489932885,0.9974073475501467,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006677852348993289,0.9974174146642407,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006577181208053691,0.9974274817783346,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006476510067114094,0.9974375488924286,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006375838926174497,0.9974476160065225,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006275167785234899,0.9974576831206166,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006174496644295302,0.9974677502347105,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0006073825503355705,0.9974778173488045,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0005973154362416107,0.9974878844628984,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0005872483221476511,0.9974979515769924,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0005771812080536912,0.9975080186910863,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0005671140939597316,0.9975180858051803,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0005570469798657718,0.9975281529192742,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.000546979865771812,0.9975382200333682,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
