variant,role,seeds,rows,hard_alarm_rate_mean,hard_alarm_rate_min,hard_alarm_rate_max,hard_alarm_rate_std,conflict_review_rate_mean,conflict_review_rate_min,conflict_review_rate_max,conflict_review_rate_std,raw_alarm_rate_mean,raw_alarm_rate_min,raw_alarm_rate_max,raw_alarm_rate_std
fit_tail_source_balanced,same_file_query,5,67749,0.9988427873474148,0.995675212918272,0.9999261981726668,0.0016015805950255816,0.00037491328285282893,7.380182733324477e-05,0.0007232579078657,0.0002442561761022109,0.9992177006302676,0.9962361068060044,1.0,0.0014918925762439368
fit_tail_source_balanced,sealed_final_attack,5,110104,0.9714796919276321,0.8675615781442999,0.9978929012569934,0.051960952533263695,0.020484269418004738,0.0004722807527428,0.0984705369468865,0.038995924966579824,0.9919639613456368,0.9660321150911864,0.998474169875754,0.01296599183612099
fit_tail_source_balanced,sealed_final_ood,5,154900,0.00829180116203998,0.0062427372498386,0.0118398967075532,0.0020039907654700057,0.00828921885087148,0.0001872175597159,0.0140671400903808,0.006548990083510233,0.01658102001291148,0.0087217559715945,0.022265978050355,0.0051937390986876945
fit_tail_source_balanced,support_val,5,69,0.9884057971014493,0.9565217391304348,1.0,0.01690130984013129,0.005797101449275361,0.0,0.0144927536231884,0.007099970268936746,0.9942028985507246,0.9710144927536232,1.0,0.011594202898550733
source_balanced,future_query,5,228649,0.9501742846021631,0.9187531981333836,0.9737938936973264,0.018033628724258056,0.04889240713932704,0.0252876679976732,0.0803808457504734,0.018038662956203166,0.9990666917414902,0.9986704512156188,0.9992302612300952,0.00020550126155799837
source_balanced,id_calib,5,51497,0.0,0.0,0.0,0.0,0.0009670466240751201,0.0008155814901838,0.0010874419869118,9.544793465596356e-05,0.0009670466240751201,0.0008155814901838,0.0010874419869118,9.544793465596356e-05
source_balanced,ood_stress,5,79950,0.00019762351469662003,0.0001500938086303,0.0002626641651031,3.7439973851390905e-05,0.00559849906191366,0.0048405253283302,0.0066041275797373,0.0006639566068405339,0.005796122576610341,0.0049906191369606,0.0067792370231394,0.0006599862173634556
source_balanced,ood_val,5,12205,0.0,0.0,0.0,0.0,0.009848422777550141,0.0094223678820155,0.0100778369520688,0.0002452540687766831,0.009848422777550141,0.0094223678820155,0.0100778369520688,0.0002452540687766831
source_balanced,same_file_query,5,67749,0.9966257804543239,0.9902581587920116,0.9990258158792013,0.0032806365839466514,0.00337421954567592,0.0009741841207988,0.0097418412079883,0.003280636583946648,1.0,1.0,1.0,0.0
source_balanced,sealed_final_attack,5,110104,0.9946396134563686,0.9918985686260264,0.996003778246022,0.0014714191631991524,0.0038018600595799605,0.0024249800188912,0.006475695705878,0.0014501553563320145,0.9984414735159485,0.9983742643319043,0.9985195814865944,5.958446365929849e-05
source_balanced,sealed_final_ood,5,154900,0.0028534538411878205,0.0018979987088444,0.0036604260813428,0.0006051237265565121,0.10986313750806967,0.0578889606197546,0.1669464170432537,0.04582395487564987,0.11271659134925753,0.061052291801162,0.1706068431245965,0.045732392219880624
source_balanced,support_val,5,69,0.9797101449275362,0.9565217391304348,1.0,0.014779766706066044,0.02028985507246376,0.0,0.0434782608695652,0.014779766706066037,1.0,1.0,1.0,0.0
source_balanced_group_weighted,future_query,5,228649,0.9969000520448372,0.9966061517872372,0.9976251809542136,0.0003781247720421391,0.00128231481440982,0.0001486995350952,0.0018893587988576,0.000620351411159337,0.9981823668592471,0.9977738804893088,0.9985217516805234,0.0002720678335170382
source_balanced_group_weighted,id_calib,5,51497,0.0,0.0,0.0,0.0,0.00062916286385612,0.0,0.0024661630774608,0.0009259723559870818,0.00062916286385612,0.0,0.0024661630774608,0.0009259723559870818
source_balanced_group_weighted,ood_stress,5,79950,0.0015109443402126,0.0006253908692933,0.0046904315196998,0.001591541002927926,0.0080975609756097,0.0049405878674171,0.0092182614133833,0.0016253156714604422,0.009608505315822361,0.0089430894308943,0.0098686679174484,0.0003436714877285973
source_balanced_group_weighted,ood_val,5,12205,0.0003277345350266114,8.19336337566571e-05,0.0010651372388365,0.0003700643929745453,0.0007374027038098599,0.0001638672675133,0.0012290045063498,0.0004113035771572521,0.00106513723883652,0.0003277345350266,0.0014748054076198,0.0004145550394321549
source_balanced_group_weighted,same_file_query,5,67749,0.9985771007690151,0.9942729781989402,1.0,0.0021700970218027065,0.000569750107012629,0.0,0.0014907969121315,0.0005356690981056693,0.9991468508760277,0.9957637751110716,1.0,0.0016915765217368956
source_balanced_group_weighted,sealed_final_attack,5,110104,0.9964724260698976,0.992770471554167,0.9979746421565066,0.0018812959994759727,0.00075746566882214,0.0003905398532296,0.0015984887015912,0.0004423603728285186,0.9972298917387198,0.9943689602557582,0.9983651820097362,0.0014488965673566023
source_balanced_group_weighted,sealed_final_ood,5,154900,0.018078760490639077,0.007036797934151,0.0384699806326662,0.012150475587402303,0.0110277598450613,0.0010071013557133,0.0254422207876049,0.00812062284055941,0.029106520335700402,0.0159522272433828,0.0639122014202711,0.017837457436970964
source_balanced_group_weighted,support_val,5,69,0.9884057971014493,0.9710144927536232,1.0,0.01084538372977954,0.0028985507246376803,0.0,0.0144927536231884,0.005797101449275361,0.9913043478260869,0.9710144927536232,1.0,0.011594202898550727
