evaluation_role,holdout,adapter,seed,selected_config_id,model_type,train_time,inference_time,parameter_count,hard_negative_count
consistency,primary_lowood,A2_linear_svm_margin,50,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.046019600005820394,0.023026699986075982,65,0
consistency,primary_lowood,A0_lr_baseline,51,lr_fixed_guard,lr,0.5209886999800801,0.024720899993553758,65,0
consistency,primary_lowood,A1_low_fpr_weighted_lr,51,lr_tail_q0.975_w8.0_a1.0,lr,0.9858104000159074,0.023588100011693314,65,50
consistency,primary_lowood,A2_linear_svm_margin,51,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.05593640002189204,0.017842100001871586,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,42,lr_fixed_guard,lr,0.6163616999983788,0.018212499999208376,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,42,lr_tail_q0.975_w4.0_a1.0,lr,1.216448199993465,0.018834499991498888,65,50
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,42,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.10362069998518564,0.0184634999895934,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,43,lr_fixed_guard,lr,0.5911553999758326,0.022008200001437217,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,43,lr_tail_q0.975_w8.0_a1.0,lr,1.1883115000091493,0.02350700000533834,65,50
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,43,sgd_hinge_alpha0.0001_a1.0,linear_svm,0.05992220001644455,0.018873400025768206,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,44,lr_fixed_guard,lr,0.6145173999830149,0.027041499997721985,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,44,lr_tail_q0.975_w4.0_a1.0,lr,1.2429094999970403,0.028785200003767386,65,50
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,44,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.06630979999317788,0.01649310000357218,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,45,lr_fixed_guard,lr,0.5772991999983788,0.023936199984746054,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,45,lr_tail_q0.95_w4.0_a1.0,lr,1.213798000011593,0.01998080001794733,65,100
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,45,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.05848540001898073,0.01866679999511689,65,0
consistency,chrono_late_train_early_eval,A0_lr_baseline,46,lr_fixed_guard,lr,0.5843243999988772,0.017459700000472367,65,0
consistency,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,46,lr_tail_q0.95_w4.0_a1.0,lr,1.2362317999941297,0.0153582000057213,65,100
consistency,chrono_late_train_early_eval,A2_linear_svm_margin,46,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.058744900015881285,0.018203999992692843,65,0
