evaluation_role,dataset,holdout,adapter,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,selected_config,train_time_mean,inference_time_mean,parameter_count_mean,hard_negative_count_mean,provenance_clean_rate
locked,locked_harder_holdout,holdout_bin_6,A0_lr_baseline,heldout_47_51,5,0.9826834165834166,0.9750582019196734,0.9841615670761399,0.97002997002997,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0045,0.0045,1.0,-4.118561382207412,lr_fixed_guard,0.5157033000083174,0.021999099996173756,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,A0_lr_baseline,main_42_46,5,0.9826834165834166,0.9750582019196734,0.9841615670761399,0.97002997002997,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.0045,0.0045,1.0,-4.118561382207412,lr_fixed_guard,0.5255347199970857,0.02233348000445403,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,A1_low_fpr_weighted_lr,heldout_47_51,5,0.9828620379620379,0.9751536979171387,0.9841073499364956,0.97002997002997,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.00416,0.0044,1.0,-4.1168569305673195,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.0222761999990326,0.020896540000103415,65.0,70.0,1.0
locked,locked_harder_holdout,holdout_bin_6,A1_low_fpr_weighted_lr,main_42_46,5,0.9828555444555445,0.9751502631462546,0.9841093579787048,0.97002997002997,0.97002997002997,0.0,0.97002997002997,0.97002997002997,0.00408,0.0044,1.0,-4.116311326366587,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.018340140004875,0.021107060002395883,65.0,60.0,1.0
locked,locked_harder_holdout,holdout_bin_6,A2_linear_svm_margin,heldout_47_51,5,0.9796678321678322,0.9246699894095414,0.8540303917188339,0.8785214785214785,0.7762237762237761,0.22175009496651865,0.38461538461538464,0.916083916083916,0.00792,0.0144,0.6,793.2224491122672,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.07210048000561073,0.017482760001439602,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_6,A2_linear_svm_margin,main_42_46,5,0.9792692707292707,0.9245537965458025,0.8451156883317686,0.8757242757242757,0.7596403596403596,0.16406838881742428,0.5114885114885115,0.8791208791208791,0.007000000000000001,0.0135,0.8,-1260.296807942573,sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.07285997999715618,0.014838060009060428,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_7,A0_lr_baseline,heldout_47_51,5,0.9819418054338301,0.9804776193977849,0.9873292844591053,0.9780893952673095,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.0041,0.0041,1.0,-4.067457114802276,lr_fixed_guard,0.5298982999986037,0.021360800007823855,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_7,A0_lr_baseline,main_42_46,5,0.9819418054338301,0.9804776193977849,0.9873292844591053,0.9780893952673095,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.0041,0.0041,1.0,-4.067457114802276,lr_fixed_guard,0.5208638599899131,0.017667139996774495,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_7,A1_low_fpr_weighted_lr,heldout_47_51,5,0.982359824715162,0.9805363429517685,0.9872138959477492,0.9780893952673095,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.0036,0.0036,1.0,-4.045651210990182,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.0604108400002588,0.021206059999531134,65.0,60.0,1.0
locked,locked_harder_holdout,holdout_bin_7,A1_low_fpr_weighted_lr,main_42_46,5,0.9823333216476774,0.9805336405995788,0.9872262275443827,0.9780893952673095,0.9780893952673095,0.0,0.9780893952673094,0.9780893952673094,0.0036,0.0036,1.0,-4.0483798425904975,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.025765580002917,0.02072067999979481,65.0,70.0,1.0
locked,locked_harder_holdout,holdout_bin_7,A2_linear_svm_margin,heldout_47_51,5,0.9717108501314635,0.8925199019037666,0.7973812973720487,0.7661700262927257,0.7333917616126204,0.09174742299425728,0.6134969325153374,0.8369851007887817,0.0086,0.018,0.6,-1003.3445461104229,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha1e-05_a1.0,0.05412390000419691,0.016113080008653923,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_7,A2_linear_svm_margin,main_42_46,5,0.9448271691498686,0.8415395782933528,0.7853993895859667,0.736897458369851,0.7244522348816828,0.17486869971960198,0.5118317265556529,0.9561787905346187,0.00876,0.0145,0.6,-2364.6873361596345,sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.05718724000034854,0.01765681999968365,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_8,A0_lr_baseline,heldout_47_51,5,0.964706103286385,0.9108114779702291,0.9369853964658976,0.8896713615023474,0.8826291079812206,0.0,0.8826291079812206,0.8826291079812206,0.0042,0.0042,1.0,-4.423520833673828,lr_fixed_guard,0.4904093000048306,0.01974319998989813,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_8,A0_lr_baseline,main_42_46,5,0.964706103286385,0.9108114779702291,0.9369853964658976,0.8896713615023474,0.8826291079812206,0.0,0.8826291079812206,0.8826291079812206,0.0042,0.0042,1.0,-4.423520833673828,lr_fixed_guard,0.5133095400000457,0.02086653999867849,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_8,A1_low_fpr_weighted_lr,heldout_47_51,5,0.9658772769953053,0.9129538664756429,0.9372685021350886,0.8896713615023474,0.8826291079812206,0.0,0.8826291079812206,0.8826291079812206,0.00356,0.0037,1.0,-4.433989973234665,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,0.9942649799981155,0.01739419999648817,65.0,60.0,1.0
locked,locked_harder_holdout,holdout_bin_8,A1_low_fpr_weighted_lr,main_42_46,5,0.966002957746479,0.9132768681530141,0.9372968127020078,0.8896713615023474,0.8826291079812206,0.0,0.8826291079812206,0.8826291079812206,0.00346,0.0037,1.0,-4.436569939417674,lr_tail_q0.975_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,0.9939141199924052,0.01866904000635259,65.0,50.0,1.0
locked,locked_harder_holdout,holdout_bin_8,A2_linear_svm_margin,heldout_47_51,5,0.9182428169014084,0.5945976231540068,0.6881779790973648,0.5915492957746479,0.355868544600939,0.2663031477165119,0.05868544600938967,0.7723004694835681,0.00578,0.0105,0.8,-2344.6611601652844,sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.06486223999527282,0.01411315998993814,65.0,0.0,1.0
locked,locked_harder_holdout,holdout_bin_8,A2_linear_svm_margin,main_42_46,5,0.9122286854460094,0.6435719441962389,0.7117276523462382,0.7154929577464789,0.4380281690140845,0.2695577836985089,0.1431924882629108,0.7723004694835681,0.00428,0.0059,1.0,-1305.707212457038,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.08183256000629627,0.016975959989940746,65.0,0.0,1.0
